id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5f834eaa7dab234bb28faef6,29,Female,Bachelor's degree,top left,triangle,310.9090909090909,248.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,213.93211636690535
5ea2c1119a49751e74bb17c5,20,Male,"Some college, no degree",bottom left,kite,400.9090909090909,276.3636363636364,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,253.90648698336045
5f8197308fbf6924dce0d73f,29,Male,Bachelor's degree,top left,kite,415.45454545454544,129.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,279.4844870693124
5aecce56c09cd900015d7ed5,27,Male,Graduate or professional degree,bottom left,circle,350.0,99.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,349.0048307700431
5eb13cffb62d6d21036a3fc5,21,Male,"Some college, no degree",top left,square,376.3636363636364,370.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,343.21957648996425
5f3fbbb2edd4d20456a952a4,30,Male,Graduate or professional degree,bottom left,triangle,198.1818181818182,130.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,275.47568175733664
5f466fbdea6e5001c239692b,18,Male,High school graduate (includes equivalency),right,square,212.72727272727272,310.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,237.1286222097079
5e3bcf2c4b2b3e000bbbaf53,40,Male,"Some college, no degree",top left,square,420.9090909090909,170.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,288.4409646403309
5f4d5a4500dba5a21a7d4e12,26,Female,Bachelor's degree,bottom left,circle,375.45454545454544,333.6363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,206.1975503056865
5894fd417ee8a500014f70d8,25,Male,Bachelor's degree,top left,kite,289.09090909090907,136.36363636363635,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,153.51207990801876
5f3059fc3b12674b7a637b97,33,Male,High school graduate (includes equivalency),top left,circle,370.9090909090909,139.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,235.33132964130337
5f58e2ebb27d050941be1694,28,Male,Graduate or professional degree,top left,square,336.3636363636364,263.6363636363636,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,243.65062712657556
5f8807ecedfb13243a72d20b,21,Male,High school graduate (includes equivalency),top left,circle,334.54545454545456,451.8181818181818,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,382.40086491482117
5e6f3121d618ce4f1e207112,31,Male,Graduate or professional degree,top left,circle,372.7272727272727,369.09090909090907,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,340.0296656965668
5c973f7fc428fa0016cf0fa7,21,Male,"Some college, no degree",top left,kite,59.090909090909086,309.09090909090907,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,199.51057885330331
5e738f5f10523604a94a663b,19,Female,High school graduate (includes equivalency),top left,circle,360.0,278.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,271.3681437116148
5f08010d75038e2053232eac,43,Female,"Some college, no degree",top left,triangle,337.27272727272725,425.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,361.64021434030144
5e39b8b00014e21c91bc4928,24,Male,Graduate or professional degree,right,triangle,301.8181818181818,78.18181818181817,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,127.57911173881921
5e8deb648c085a0643af9567,18,Male,High school graduate (includes equivalency),top left,square,293.6363636363636,295.45454545454544,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,232.17229638053624
5e8280f798772b000bc87e61,27,Female,Graduate or professional degree,right,circle,311.8181818181818,249.0909090909091,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,122.52400675543124
5f282a774e018c0d83c3b833,26,Female,Bachelor's degree,top left,kite,260.9090909090909,267.27272727272725,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,189.32461519135688
5dd1bcb78b8df12171cf5dff,38,Male,High school graduate (includes equivalency),top left,kite,179.0909090909091,98.18181818181817,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,50.75471724198698
5f5748bcbeeecd1c50efee1c,25,Male,Bachelor's degree,right,circle,363.6363636363636,180.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,,,,,,,,,,,398,162,38.79251866187902
5f312814fe3e955b2951284c,27,Female,Bachelor's degree,bottom left,circle,138.1818181818182,290.9090909090909,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,,,,,,,,,,,182,405,122.21607339070147
58a9acb966e4640001c53a7f,30,Male,Bachelor's degree,right,circle,178.1818181818182,278.1818181818182,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,,,,,,,,,,,398,162,248.63275716181144
5b97a223788a3d0001b49ab3,23,Male,Less than high school,bottom left,kite,300.9090909090909,77.27272727272727,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,,,,,,,,,,,182,405,348.6323811553979
