id,age,gender,education,pc_choice,pc_result,x,y,pc_choice_image,bigl,gambling_expectancies,illusion_of_control,predictive_control,inability_to_stop_gambling,interpretive_bias,rational_ability,rational_engagement,experimental_ability,experimental_engagement,pc_choice_x,pc_choice_y,dist
5f6f6dbb688fd34fe7a930e0,31,Male,High school graduate (includes equivalency),top left,0.0,327.0,212.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,,,,,,,,,,,136,125,209.88091861815357
5f68df44e847c607809962c8,23,Female,Bachelor's degree,top left,0.0,310.0,249.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,27.0,4.0,4.0,7.0,5.0,4.0,25.0,25.0,30.0,29.0,136,125,213.66328650472454
5ce1372c55fe0d001869c8d8,32,Male,Associate degree,top left,1.0,345.0,327.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,34.0,4.0,5.0,13.0,5.0,5.0,22.0,25.0,33.0,26.0,136,125,290.66303514551004
5d6c3abc4ecaee0001e3163d,23,Female,Bachelor's degree,bottom left,1.0,364.0,248.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,33.0,9.0,6.0,10.0,8.0,9.0,25.0,25.0,26.0,27.0,182,405,240.36014644695155
5dd303b5390fb631b8753e0a,32,Female,Graduate or professional degree,top left,0.0,199.0,129.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,24.0,6.0,8.0,16.0,8.0,12.0,25.0,36.0,30.0,26.0,136,125,63.12685640834652
5ed39e0d5787723373a9e433,40,Male,"Some college, no degree",bottom left,0.0,83.0,218.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,20.0,4.0,4.0,6.0,5.0,4.0,18.0,18.0,26.0,30.0,182,405,211.5892246783848
5ba42db8a6ba600001d6e28c,20,Female,Bachelor's degree,bottom left,5.0,423.0,207.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,30.0,11.0,4.0,21.0,5.0,9.0,25.0,27.0,31.0,29.0,182,405,311.9054343867705
5c65c61e076e4e0001290915,22,Male,Bachelor's degree,top left,1.0,360.0,279.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,271.8308297452664
5754034c7d985200078b999f,29,Female,Bachelor's degree,top left,0.0,260.0,266.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,23.0,4.0,4.0,6.0,5.0,4.0,20.0,24.0,30.0,31.0,136,125,187.76847445724215
5c8b065abd96ce0001947d1b,37,Female,"Some college, no degree",right,1.0,142.0,344.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,30.0,4.0,4.0,7.0,5.0,7.0,26.0,25.0,29.0,28.0,398,162,314.10189429546585
5f80206b4e42ed000dee89bb,21,Female,High school graduate (includes equivalency),top left,0.0,336.0,302.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,27.0,4.0,10.0,8.0,5.0,9.0,27.0,24.0,24.0,31.0,136,125,267.0748958625651
5c55fe15b571e7000119e5d9,37,Female,"Some college, no degree",right,1.0,241.0,366.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9pn89UCXN7NgZa5,27.0,11.0,14.0,27.0,9.0,13.0,30.0,28.0,31.0,28.0,398,162,257.41989045137905
5e8b8ff7a1086d07517aad5a,30,Female,Bachelor's degree,right,1.0,31.0,270.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVrNwGFgrxpvt0F,31.0,5.0,4.0,6.0,5.0,5.0,27.0,25.0,26.0,29.0,398,162,382.5611062301028
5f33051bf1d60a0f299fa7f7,18,Female,High school graduate (includes equivalency),top left,5.0,343.0,166.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8iTQENQKp4ofTOl,31.0,8.0,5.0,10.0,7.0,4.0,25.0,22.0,29.0,25.0,136,125,211.0213259365034
5efca9b3026506070acda120,38,Female,Bachelor's degree,top left,5.0,357.0,400.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,30.0,17.0,10.0,17.0,11.0,15.0,31.0,32.0,30.0,30.0,136,125,352.797392280612
5d5fc0dbf701df001e5e00d8,33,Female,Graduate or professional degree,top left,5.0,301.0,336.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,,,,,,,,,,,136,125,267.8544380815819
5dc0ab15e4f0ff0556494842,26,Other or prefer not to say,"Some college, no degree",bottom left,1.0,289.0,209.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,33.0,12.0,6.0,8.0,8.0,8.0,31.0,28.0,28.0,29.0,182,405,223.3047245357787
5ebe9ba752363c05058883d8,29,Female,"Some college, no degree",bottom left,5.0,180.0,277.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,31.0,12.0,15.0,20.0,5.0,12.0,28.0,32.0,27.0,37.0,182,405,128.01562404644207
546a979ffdf99b3f01f121a2,24,Male,Bachelor's degree,top left,1.0,208.0,212.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,10.0,4.0,5.0,10.0,5.0,5.0,31.0,23.0,34.0,30.0,136,125,112.92918134831227
5e862d57e52ccb2550af1348,21,Male,Less than high school,bottom left,0.0,388.0,213.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GriGioJDRBy5Vj,25.0,16.0,9.0,27.0,9.0,19.0,24.0,26.0,28.0,31.0,182,405,281.60255680657446
5f52ce46d4ac645dcddbfcaa,19,Male,High school graduate (includes equivalency),bottom left,5.0,179.0,277.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b7NoRPBiEKUTCSx,25.0,15.0,4.0,6.0,16.0,4.0,23.0,26.0,29.0,28.0,182,405,128.03515142334936
5e237caac530bd62e210d540,30,Other or prefer not to say,Bachelor's degree,top left,1.0,357.0,402.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,31.0,14.0,18.0,26.0,17.0,16.0,23.0,28.0,28.0,26.0,136,125,354.3585754571208
5eeba61a6480680fa250a4f5,30,Male,Bachelor's degree,top left,5.0,325.0,214.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,28.0,6.0,4.0,16.0,5.0,14.0,23.0,23.0,34.0,29.0,136,125,208.90667772955464
5f33c81159accc057369a733,19,Male,"Some college, no degree",top left,1.0,150.0,123.0,https://hujipsych.au1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8latqR2dmR1KliB,28.0,16.0,16.0,22.0,21.0,15.0,28.0,31.0,29.0,31.0,136,125,14.142135623730951
